name,phase
"1 1/4"" 2-#3 WT CABLE CONN",4200
"2""     3-2/0 WT CABLE CONN",4200
"2""     3-4/0 WT CABLE CONN",4200
"  3/4"" SER CABLE CONN",4200
"1""     SER CABLE CONN",4200
"1 1/4"" SER CABLE CONN",4200
"1 1/2"" SER CABLE CONN",4200
"2""     SER CABLE CONN",4200
"  3/4>  1/2"" REDUCING WASHER",4200
"1    >  1/2"" REDUCING WASHER",4200
"1    >  3/4"" REDUCING WASHER",4200
"1 1/4>  1/2"" REDUCING WASHER",4200
"1 1/4>  3/4"" REDUCING WASHER",4200
"1 1/4>1""     REDUCING WASHER",4200
"1 1/2>  1/2"" REDUCING WASHER",4200
"1 1/2>  3/4"" REDUCING WASHER",4200
"1 1/2>1""     REDUCING WASHER",4200
"1 1/2>1 1/4"" REDUCING WASHER",4200
"2    >  1/2"" REDUCING WASHER",4200
"2    >  3/4"" REDUCING WASHER",4200
"2    >1""     REDUCING WASHER",4200
"2    >1 1/4"" REDUCING WASHER",4200
"2    >1 1/2"" REDUCING WASHER",4200
"2-1/2>  1/2"" REDUCING WASHER",4200
"2-1/2>  3/4"" REDUCING WASHER",4200
"2-1/2>1""     REDUCING WASHER",4200
"2-1/2>1 1/4"" REDUCING WASHER",4200
"2-1/2>1 1/2"" REDUCING WASHER",4200
"2-1/2>    2"" REDUCING WASHER",4200
"3    >  1/2"" REDUCING WASHER",4200
"3    >  3/4"" REDUCING WASHER",4200
"3    >1""     REDUCING WASHER",4200
"3    >1 1/4"" REDUCING WASHER",4200
"3    >1 1/2"" REDUCING WASHER",4200
"3    >    2"" REDUCING WASHER",4200
"3    >2 1/2"" REDUCING WASHER",4200
"  1/2"" RISER CLAMP",4200
"  3/4"" RISER CLAMP",4200
"1""     RISER CLAMP",4200
"1 1/4"" RISER CLAMP",4200
"1 1/2"" RISER CLAMP",4200
"2""     RISER CLAMP",4200
"2 1/2"" RISER CLAMP",4200
"3""     RISER CLAMP",4200
"3 1/2"" RISER CLAMP",4200
"4""     RISER CLAMP",4200
"5""     RISER CLAMP",4200
"6""     RISER CLAMP",4200
"  1/2"" GRC (GALV)",4200
"  3/4"" GRC (GALV)",4200
"1""     GRC (GALV)",4200
"1 1/4"" GRC (GALV)",4200
"1 1/2"" GRC (GALV)",4200
"2""     GRC (GALV)",4200
"2 1/2"" GRC (GALV)",4200
"3""     GRC (GALV)",4200
"3 1/2"" GRC (GALV)",4200
"4""     GRC (GALV)",4200
"5""     GRC (GALV)",4200
"6""     GRC (GALV)",4200
"  1/2"" GRC 90 DEG ELBOW",4200
"  3/4"" GRC 90 DEG ELBOW",4200
"1""     GRC 90 DEG ELBOW",4200
"1 1/4"" GRC 90 DEG ELBOW",4200
"1 1/2"" GRC 90 DEG ELBOW",4200
"2""     GRC 90 DEG ELBOW",4200
"2 1/2"" GRC 90 DEG ELBOW",4200
"3""     GRC 90 DEG ELBOW",4200
"3 1/2"" GRC 90 DEG ELBOW",4200
"4""     GRC 90 DEG ELBOW",4200
"5""     GRC 90 DEG ELBOW",4200
"6""     GRC 90 DEG ELBOW",4200
"1""  GRC-12"" RAD 90 DEG ELBOW",4200
"1 1/4"" GRC-12"" RAD 90 DEG ELBOW",4200
"1 1/2"" GRC-12"" RAD 90 DEG ELBOW",4200
"2""  GRC-12"" RAD 90 DEG ELBOW",4200
"1 1/4"" GRC-15"" RAD 90 DEG ELBOW",4200
"1 1/2"" GRC-15"" RAD 90 DEG ELBOW",4200
"2""     GRC-15"" RAD 90 DEG ELBOW",4200
"2 1/2"" GRC-15"" RAD 90 DEG ELBOW",4200
"1 1/2"" GRC-18"" RAD 90 DEG ELBOW",4200
"2""     GRC-18"" RAD 90 DEG ELBOW",4200
"2 1/2"" GRC-18"" RAD 90 DEG ELBOW",4200
"3""     GRC-18"" RAD 90 DEG ELBOW",4200
"2""     GRC-24"" RAD 90 DEG ELBOW",4200
"2 1/2"" GRC-24"" RAD 90 DEG ELBOW",4200
"3""     GRC-24"" RAD 90 DEG ELBOW",4200
"3 1/2"" GRC-24"" RAD 90 DEG ELBOW",4200
"2 1/2"" GRC-30"" RAD 90 DEG ELBOW",4200
"3""     GRC-30"" RAD 90 DEG ELBOW",4200
"3 1/2"" GRC-30"" RAD 90 DEG ELBOW",4200
"4""     GRC-30"" RAD 90 DEG ELBOW",4200
"4""     GRC-36"" RAD 90 DEG ELBOW",4200
"5""     GRC-36"" RAD 90 DEG ELBOW",4200
"6""     GRC-36"" RAD 90 DEG ELBOW",4200
"4""  GRC-42"" RAD 90 DEG ELBOW",4200
"5""     GRC-42"" RAD 90 DEG ELBOW",4200
"6""     GRC-42"" RAD 90 DEG ELBOW",4200
"4""     GRC-48"" RAD 90 DEG ELBOW",4200
"5""     GRC-48"" RAD 90 DEG ELBOW",4200
"6""     GRC-48"" RAD 90 DEG ELBOW",4200
"4""  GRC-60"" RAD 90 DEG ELBOW",4200
"5""  GRC-60"" RAD 90 DEG ELBOW",4200
"6""  GRC-60"" RAD 90 DEG ELBOW",4200
"  1/2"" GRC 45 DEG ELBOW",4200
"  3/4"" GRC 45 DEG ELBOW",4200
"1""     GRC 45 DEG ELBOW",4200
"1 1/4"" GRC 45 DEG ELBOW",4200
"1 1/2"" GRC 45 DEG ELBOW",4200
"2""     GRC 45 DEG ELBOW",4200
"2 1/2"" GRC 45 DEG ELBOW",4200
"3""     GRC 45 DEG ELBOW",4200
"3 1/2"" GRC 45 DEG ELBOW",4200
"4""     GRC 45 DEG ELBOW",4200
"5""     GRC 45 DEG ELBOW",4200
"6""     GRC 45 DEG ELBOW",4200
"1""  GRC-12"" RAD 45 DEG ELBOW",4200
"1 1/4"" GRC-12"" RAD 45 DEG ELBOW",4200
"1 1/2"" GRC-12"" RAD 45 DEG ELBOW",4200
"2""  GRC-12"" RAD 45 DEG ELBOW",4200
"1 1/4"" GRC-15"" RAD 45 DEG ELBOW",4200
"1 1/2"" GRC-15"" RAD 45 DEG ELBOW",4200
"2""  GRC-15"" RAD 45 DEG ELBOW",4200
"2 1/2"" GRC-15"" RAD 45 DEG ELBOW",4200
"1 1/2"" GRC-18"" RAD 45 DEG ELBOW",4200
"2""  GRC-18"" RAD 45 DEG ELBOW",4200
"2 1/2"" GRC-18"" RAD 45 DEG ELBOW",4200
"3""     GRC-18"" RAD 45 DEG ELBOW",4200
"2""  GRC-24"" RAD 45 DEG ELBOW",4200
"2 1/2"" GRC-24"" RAD 45 DEG ELBOW",4200
"3""  GRC-24"" RAD 45 DEG ELBOW",4200
"3 1/2"" GRC-24"" RAD 45 DEG ELBOW",4200
"2 1/2"" GRC-30"" RAD 45 DEG ELBOW",4200
"3""     GRC-30"" RAD 45 DEG ELBOW",4200
"3 1/2"" GRC-30"" RAD 45 DEG ELBOW",4200
"4""     GRC-30"" RAD 45 DEG ELBOW",4200
"4""     GRC-36"" RAD 45 DEG ELBOW",4200
"5""     GRC-36"" RAD 45 DEG ELBOW",4200
"6""     GRC-36"" RAD 45 DEG ELBOW",4200
"4""  GRC-42"" RAD 45 DEG ELBOW",4200
"5""  GRC-42"" RAD 45 DEG ELBOW",4200
"6""  GRC-42"" RAD 45 DEG ELBOW",4200
"4""     GRC-48"" RAD 45 DEG ELBOW",4200
"5""     GRC-48"" RAD 45 DEG ELBOW",4200
"6""     GRC-48"" RAD 45 DEG ELBOW",4200
"4""  GRC-60"" RAD 45 DEG ELBOW",4200
"5""     GRC-60"" RAD 45 DEG ELBOW",4200
"6""  GRC-60"" RAD 45 DEG ELBOW",4200
"  1/2"" GRC MALE>FEM SHORT ELBOW",4200
"  3/4"" GRC MALE>FEM SHORT ELBOW",4200
"1""  GRC MALE>FEM SHORT ELBOW",4200
"1 1/4"" GRC MALE>FEM SHORT ELBOW",4200
"1 1/2"" GRC MALE>FEM SHORT ELBOW",4200
"2""     GRC MALE>FEM SHORT ELBOW",4200
"  1/2"" GRC FEM>FEM PULL ELBOW",4200
"  3/4"" GRC FEM>FEM PULL ELBOW",4200
"1""  GRC FEM>FEM PULL ELBOW",4200
"1 1/4"" GRC FEM>FEM PULL ELBOW",4200
"1 1/2"" GRC FEM>FEM PULL ELBOW",4200
"2""  GRC FEM>FEM PULL ELBOW",4200
"  1/2"" GRC FEM>MALE PULL ELBOW",4200
"  3/4"" GRC FEM>MALE PULL ELBOW",4200
"1""  GRC FEM>MALE PULL ELBOW",4200
"1 1/4"" GRC FEM>MALE PULL ELBOW",4200
"1 1/2"" GRC FEM>MALE PULL ELBOW",4200
"2""  GRC FEM>MALE PULL ELBOW",4200
"  1/2"" GRC MALE>FEM INSUL ELBOW",4200
"  3/4"" GRC MALE>FEM INSUL ELBOW",4200
"1""  GRC MALE>FEM INSUL ELBOW",4200
"1 1/4"" GRC MALE>FEM INSUL ELBOW",4200
"1 1/2"" GRC MALE>FEM INSUL ELBOW",4200
"2""  GRC MALE>FEM INSUL ELBOW",4200
"1 1/4"" GRC 90 DEG FIELD BEND",4200
"1 1/2"" GRC 90 DEG FIELD BEND",4200
"2""     GRC 90 DEG FIELD BEND",4200
"2 1/2"" GRC 90 DEG FIELD BEND",4200
"3""     GRC 90 DEG FIELD BEND",4200
"3 1/2"" GRC 90 DEG FIELD BEND",4200
"4""     GRC 90 DEG FIELD BEND",4200
"5""     GRC 90 DEG FIELD BEND",4200
"6""     GRC 90 DEG FIELD BEND",4200
"  1/2"" GRC 1-H STEEL STRAP",4200
"  3/4"" GRC 1-H STEEL STRAP",4200
"1""  GRC 1-H STEEL STRAP",4200
"1 1/4"" GRC 1-H STEEL STRAP",4200
"1 1/2"" GRC 1-H STEEL STRAP",4200
"2""  GRC 1-H STEEL STRAP",4200
"2 1/2"" 1-H STEEL STRAP",4200
"3""  1-H STEEL STRAP",4200
"3 1/2"" 1-H STEEL STRAP",4200
"4""  1-H STEEL STRAP",4200
"  1/2"" 2-H STEEL STRAP",4200
"  3/4"" 2-H STEEL STRAP",4200
"1""  2-H STEEL STRAP",4200
"1 1/4"" 2-H STEEL STRAP",4200
"1 1/2"" 2-H STEEL STRAP",4200
"2""  2-H STEEL STRAP",4200
"2 1/2"" 2-H STEEL STRAP",4200
"3""  2-H STEEL STRAP",4200
"3 1/2"" 2-H STEEL STRAP",4200
"4""  2-H STEEL STRAP",4200
"  1/2"" 1-H MALL STRAP",4200
"  3/4"" 1-H MALL STRAP",4200
"1""  1-H MALL STRAP",4200
"1 1/4"" 1-H MALL STRAP",4200
"1 1/2"" 1-H MALL STRAP",4200
"2""  1-H MALL STRAP",4200
"2 1/2"" 1-H MALL STRAP",4200
"3""  1-H MALL STRAP",4200
"3 1/2"" 1-H MALL STRAP",4200
"4""  1-H MALL STRAP",4200
"5""     1-H MALL STRAP",4200
"6""     1-H MALL STRAP",4200
"  1/2"" GRC STRUT CLAMP",4200
"  3/4"" GRC STRUT CLAMP",4200
"1""     GRC STRUT CLAMP",4200
"1 1/4"" GRC STRUT CLAMP",4200
"1 1/2"" GRC STRUT CLAMP",4200
"2""     GRC STRUT CLAMP",4200
"2 1/2"" GRC STRUT CLAMP",4200
"3""     GRC STRUT CLAMP",4200
"3 1/2"" GRC STRUT CLAMP",4200
"4""     GRC STRUT CLAMP",4200
"5""     GRC STRUT CLAMP",4200
"6""     GRC STRUT CLAMP",4200
"  1/2"" CLAMP BACK",4200
"  3/4"" CLAMP BACK",4200
"1""  CLAMP BACK",4200
"1 1/4"" CLAMP BACK",4200
"1 1/2"" CLAMP BACK",4200
"2""  CLAMP BACK",4200
"2 1/2"" CLAMP BACK",4200
"3""  CLAMP BACK",4200
"3 1/2"" CLAMP BACK",4200
"4""  CLAMP BACK",4200
"  1/2"" SPRING STL CONDUIT CLAMP W/ BOLT",4200
"  3/4"" SPRING STL CONDUIT CLAMP W/ BOLT",4200
"1""     SPRING STL CONDUIT CLAMP W/ BOLT",4200
"1 1/4"" SPRING STL CONDUIT CLAMP W/ BOLT",4200
"1 1/2"" SPRING STL CONDUIT CLAMP W/ BOLT",4200
"2""     SPRING STL CONDUIT CLAMP W/ BOLT",4200
"2 1/2"" SPRING STL CONDUIT CLAMP W/ BOLT",4200
"3""     SPRING STL CONDUIT CLAMP W/ BOLT",4200
"3 1/2"" SPRING STL CONDUIT CLAMP W/ BOLT",4200
"4""     SPRING STL CONDUIT CLAMP W/ BOLT",4200
"  1/2"" GRC/IMC STEEL NAIL STRAP",4200
"  3/4"" GRC/IMC STEEL NAIL STRAP",4200
"1""  GRC/IMC STEEL NAIL STRAP",4200
"  1/2"" GRC NO-THREAD CONN",4200
"  3/4"" GRC NO-THREAD CONN",4200
"1""  GRC NO-THREAD CONN",4200
"1 1/4"" GRC NO-THREAD CONN",4200
"1 1/2"" GRC NO-THREAD CONN",4200
"2""  GRC NO-THREAD CONN",4200
"2 1/2"" GRC NO-THREAD CONN",4200
"3""  GRC NO-THREAD CONN",4200
"3 1/2"" GRC NO-THREAD CONN",4200
"4""  GRC NO-THREAD CONN",4200
"  1/2"" GRC INSUL NO-THREAD CONN",4200
"  3/4"" GRC INSUL NO-THREAD CONN",4200
